rank,name,hand_scene,proposed_rubric_score,proposed_credits,evidence_institution,evidence_festival,evidence_ibiza,evidence_label,existing_tags
1,ANOTR,83,73,institution; ibiza; label,DC-10,,DC-10; Pacha Ibiza,label_score 100/100 (name not stored — confirm),No Art (own label); Boiler Room; Festival headliner
2,Prospa,76,73,institution; festival; ibiza,DC-10,The Warehouse Project; Brooklyn Storehouse; Factory Town,DC-10,,Ninja Tune; Boiler Room; Festival headliner
3,FISHER,90,25,ibiza,,,Hï Ibiza; [UNVRS],,Catch & Release; Coachella; Ibiza residency; Festival headliner
4,Adam Beyer,82,73,institution; ibiza; label,fabric; Berghain | Panorama Bar | Säule,,Amnesia Ibiza; Privilege,label_score 100/100 (name not stored — confirm),Drumcode (own label); Essential Mix; Time Warp; Festival headliner
5,Green Velvet,80,35,label,,,,label_score 100/100 (name not stored — confirm),Relief / Cajual; La La Land; Essential Mix; Festival headliner
6,Chris Lake,85,69,festival; ibiza; label,,"venue tier 5/5 (5,000+ cap)",Amnesia Ibiza; Pacha Ibiza,label_score 80/100 (name not stored — confirm),Black Book (own label); Coachella; Festival headliner
7,John Summit,88,52,ibiza; label,,,[UNVRS]; Ushuaïa Ibiza; Hï Ibiza,label_score 80/100 (name not stored — confirm),Off The Grid (own label); Coachella; Festival headliner; Press cover
8,Dom Dolla,83,52,ibiza; label,,,Hï Ibiza; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),Coachella; Festival headliner; Press cover
9,Mau P,82,52,ibiza; label,,,Pacha Ibiza; Amnesia Ibiza; Ushuaïa Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),Boiler Room; Festival headliner; Press cover
10,Peggy Gou,87,73,institution; ibiza; label,DC-10,,DC-10,label_score 100/100 (name not stored — confirm),Ninja Tune / Gudu; Boiler Room; Coachella; Press cover
11,Max Styler,75,69,festival; ibiza; label,,Factory Town,[UNVRS],label_score 100/100 (name not stored — confirm),
12,Solomun,90,82,institution; festival; ibiza; label,Watergate,"venue tier 5/5 (5,000+ cap)",Pacha Ibiza,label_score 100/100 (name not stored — confirm),Diynamic (own label); Ibiza residency (Pacha); Essential Mix; Awakenings headliner
13,Fred again..,95,44,institution,Corsica Studios,,,,
14,Charlotte de Witte,85,73,institution; ibiza; label,Watergate,,Amnesia Ibiza; Privilege,label_score 80/100 (name not stored — confirm),KNTXT (own label); Awakenings closing; Boiler Room; Tomorrowland mainstage
15,Adriatique,77,73,institution; ibiza; label,DC-10,,DC-10,label_score 100/100 (name not stored — confirm),Siamese (own label); Afterlife; Festival headliner
16,Black Coffee,85,73,institution; ibiza; label,DC-10,,Hï Ibiza; DC-10,label_score 100/100 (name not stored — confirm),Hï Ibiza residency; Grammy winner; Essential Mix; Festival headliner
17,Cloonee,79,52,ibiza; label,,,[UNVRS],label_score 85/100 (name not stored — confirm),Hot Cakes (own label); Boiler Room; Festival headliner
18,Josh Baker,78,82,institution; festival; ibiza; label,fabric,Factory Town,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),fabric; Boiler Room; Festival sets
19,Chris Stussy,82,73,institution; ibiza; label,DC-10,,DC-10; Amnesia Ibiza,label_score 80/100 (name not stored — confirm),PIV / Up The Stuss; Boiler Room; fabric; Festival headliner
20,Disclosure,80,73,institution; ibiza; label,DC-10,,DC-10,label_score 100/100 (name not stored — confirm),Wildlife (own label); Coachella headliner; Essential Mix; Glastonbury
21,Tiga,76,52,ibiza; label,,,Pacha Ibiza,label_score 90/100 (name not stored — confirm),
22,PAWSA,81,73,institution; ibiza; label,DC-10,,DC-10,label_score 85/100 (name not stored — confirm),Solä (own label); Boiler Room; Festival headliner
23,Mark Knight,80,52,ibiza; label,,,Eden; Amnesia Ibiza; Pacha Ibiza,label_score 85/100 (name not stored — confirm),Toolroom (own label); Essential Mix; Festival headliner
24,Armand Van Helden,81,52,ibiza; label,,,Pacha Ibiza; Hï Ibiza; Amnesia Ibiza; Eden,label_score 80/100 (name not stored — confirm),
25,Adam Port,88,82,institution; festival; ibiza; label,Watergate; DC-10,"venue tier 5/5 (5,000+ cap)",DC-10,label_score 100/100 (name not stored — confirm),Keinemusik; Festival headliner; Boiler Room
26,Franky Rizardo,78,52,ibiza; label,,,Pacha Ibiza; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
27,Kolter,73,52,ibiza; label,,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),Shall Not Fade / 16 Bit; Boiler Room
28,Carl Cox,92,73,institution; festival; ibiza,DC-10; fabric,"venue tier 5/5 (5,000+ cap)",[UNVRS]; DC-10,,Drumcode mainstay; Space Ibiza residency; Essential Mix; Festival headliner
29,Yotto,75,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),Anjunadeep; Festival headliner
30,Anyma,77,52,ibiza; label,,,[UNVRS],label_score 100/100 (name not stored — confirm),Afterlife; Sphere Las Vegas residency; Festival headliner
31,Âme,81,73,institution; ibiza; label,Berghain | Panorama Bar | Säule; Robert Johnson; DC-10; Watergate,,DC-10; Pacha Ibiza,label_score 100/100 (name not stored — confirm),Innervisions; Boiler Room; Awakenings
32,Chris Lorenzo,77,35,label,,,,label_score 80/100 (name not stored — confirm),
33,&ME,88,73,institution; ibiza; label,DC-10; Watergate,,DC-10; Hï Ibiza,label_score 100/100 (name not stored — confirm),Keinemusik; Awakenings; Festival headliner
34,Joris Voorn,78,73,institution; ibiza; label,fabric,,Ushuaïa Ibiza; Hï Ibiza,label_score 85/100 (name not stored — confirm),Spectrum / Green; Awakenings; Essential Mix
35,Michael Bibi,84,73,institution; ibiza; label,DC-10,,DC-10,label_score 90/100 (name not stored — confirm),Solid Grooves (own label); DC10 residency; Boiler Room; Festival headliner
36,Rampa,88,73,institution; ibiza; label,DC-10; Watergate,,DC-10,label_score 100/100 (name not stored — confirm),Keinemusik; Festival headliner; Boiler Room
37,Max Dean,74,35,label,,,,label_score 100/100 (name not stored — confirm),
38,James Hype,82,35,label,,,,label_score 90/100 (name not stored — confirm),
39,Eli Brown,80,52,ibiza; label,,,Hï Ibiza; Eden; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),Drumcode releases; Boiler Room; Festival headliner
40,Four Tet,92,44,institution,fabric; Nowadays,,,,
41,Jamie Jones,82,73,institution; ibiza; label,DC-10; fabric,,DC-10; Amnesia Ibiza; [UNVRS],label_score 100/100 (name not stored — confirm),Hot Creations (own label); DC10 Paradise residency; Essential Mix; Boiler Room
42,Keinemusik,90,35,label,,,,label_score 100/100 (name not stored — confirm),Keinemusik (own label); Boiler Room; Festival headliner; Pyramids of Giza set
43,KETTAMA,77,52,festival; ibiza,,The Warehouse Project,Amnesia Ibiza,,G-Town / Steel City Dance Discs; Boiler Room; fabric
44,Omar+,79,,,,,,,
45,Hot Since 82,85,52,ibiza; label,,,Pacha Ibiza; Amnesia Ibiza; Ushuaïa Ibiza,label_score 100/100 (name not stored — confirm),
46,Gorgon City,88,52,ibiza; label,,,Amnesia Ibiza; Ushuaïa Ibiza; Eden,label_score 85/100 (name not stored — confirm),
47,Township Rebellion,80,35,label,,,,label_score 100/100 (name not stored — confirm),Watergate / Afterlife; Boiler Room
48,BLOND:ISH,75,73,institution; ibiza; label,DC-10,,Pacha Ibiza; DC-10,label_score 80/100 (name not stored — confirm),
49,Agents Of Time,73,73,institution; ibiza; label,Watergate,,Hï Ibiza; Pacha Ibiza,label_score 85/100 (name not stored — confirm),
50,Sidney Charles,80,73,institution; ibiza; label,Watergate,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),Drumcode / Moon Harbour; Boiler Room
51,Claude VonStroke,81,64,institution; label,fabric,,,label_score 100/100 (name not stored — confirm),Dirtybird (own label); Festival headliner; Essential Mix
52,Sasha,82,73,institution; ibiza; label,fabric,,Ushuaïa Ibiza; Privilege,label_score 100/100 (name not stored — confirm),Last Night On Earth; Essential Mix; fabric
53,Sven Väth,88,73,institution; ibiza; label,Watergate,,Amnesia Ibiza; Pacha Ibiza,label_score 100/100 (name not stored — confirm),
54,Honey Dijon,80,35,label,,,,label_score 100/100 (name not stored — confirm),
55,WhoMadeWho,76,52,ibiza; label,,,Pacha Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),
56,Adam Ten,74,35,label,,,,label_score 100/100 (name not stored — confirm),
57,Beltran,76,58,institution; ibiza,DC-10,,DC-10,,
58,Mind Against,77,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),Afterlife; Boiler Room; Festival headliner
59,DJ Koze,75,73,institution; ibiza; label,Robert Johnson; DC-10,,Pacha Ibiza; Amnesia Ibiza; DC-10,label_score 100/100 (name not stored — confirm),Pampa (own label); Essential Mix; Press cover
60,Floorplan,75,73,institution; ibiza; label,Berghain | Panorama Bar | Säule,,Amnesia Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),Robert Hood / Aril Brikha lineage; Movement Detroit; Essential Mix
